"","filename","path","mouse.id","input.case","count"
"72","IGHV1-55_IGHJ3_39_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-55_IGHJ3_39_2.fasta","m1","all",2
"73","IGHV1-55_IGHJ3_42_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-55_IGHJ3_42_1.fasta","m1","all",2
"74","IGHV1-55_IGHJ4_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-55_IGHJ4_39_1.fasta","m1","all",2
"75","IGHV1-58_IGHJ2_42_4.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-58_IGHJ2_42_4.fasta","m1","all",2
"76","IGHV1-59_IGHJ3_42_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-59_IGHJ3_42_1.fasta","m1","all",2
"77","IGHV1-59_IGHJ4_36_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-59_IGHJ4_36_1.fasta","m1","all",2
"78","IGHV1-5_IGHJ1_42_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-5_IGHJ1_42_2.fasta","m1","all",2
"79","IGHV1-5_IGHJ2_48_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-5_IGHJ2_48_2.fasta","m1","all",2
"80","IGHV1-61_IGHJ2_33_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-61_IGHJ2_33_1.fasta","m1","all",2
"81","IGHV1-62_IGHJ3_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-62_IGHJ3_39_1.fasta","m1","all",2
"82","IGHV1-63_IGHJ2_36_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-63_IGHJ2_36_1.fasta","m1","all",2
"83","IGHV1-64_IGHJ1_36_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-64_IGHJ1_36_1.fasta","m1","all",2
"84","IGHV1-64_IGHJ3_36_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-64_IGHJ3_36_1.fasta","m1","all",2
"85","IGHV1-64_IGHJ3_51_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-64_IGHJ3_51_1.fasta","m1","all",2
"86","IGHV1-66_IGHJ2_42_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-66_IGHJ2_42_1.fasta","m1","all",2
"87","IGHV1-72_IGHJ2_27_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-72_IGHJ2_27_2.fasta","m1","all",2
"88","IGHV1-72_IGHJ2_30_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-72_IGHJ2_30_2.fasta","m1","all",2
"89","IGHV1-72_IGHJ2_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-72_IGHJ2_39_1.fasta","m1","all",2
