VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV7-3*01_IGHJ3*01_54_1,3,m37,neg_YFP,m37_neg_YFP_IGHV7-3-01_IGHJ3-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV7-3-01_IGHJ3-01_54_1.aln.fasta
IGHV1-61*01_IGHJ1*01_18_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-61-01_IGHJ1-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-61-01_IGHJ1-01_18_1.aln.fasta
IGHV1-53*01_IGHJ3*01_43_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-53-01_IGHJ3-01_43_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-53-01_IGHJ3-01_43_1.aln.fasta
IGHV6-3*01_IGHJ3*01_25_1,3,m37,neg_YFP,m37_neg_YFP_IGHV6-3-01_IGHJ3-01_25_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV6-3-01_IGHJ3-01_25_1.aln.fasta
IGHV1-26*01_IGHJ2*01_18_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-26-01_IGHJ2-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-26-01_IGHJ2-01_18_1.aln.fasta
IGHV1-82*01_IGHJ1*03_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-82-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-82-01_IGHJ1-03_39_1.aln.fasta
IGHV5-17*01_IGHJ4*01_54_1,3,m37,neg_YFP,m37_neg_YFP_IGHV5-17-01_IGHJ4-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV5-17-01_IGHJ4-01_54_1.aln.fasta
IGHV6-3*01_IGHJ1*03_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV6-3-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV6-3-01_IGHJ1-03_45_1.aln.fasta
IGHV1-72*01_IGHJ1*03_54_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-72-01_IGHJ1-03_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-72-01_IGHJ1-03_54_1.aln.fasta
IGHV1-72*01_IGHJ3*01_57_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-72-01_IGHJ3-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-72-01_IGHJ3-01_57_1.aln.fasta
